TLO_Sequela_Code,Sequela,Health state name,Health state lay description,disability weight,lower,uppper
1335,"Congenital heart disease, mild intellectual disability and moderate heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, mild intellectual disability, and moderate heart failure",(combined DW),0.111,0.072,0.161
1336,"Congenital heart disease, moderate intellectual disability and severe heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, moderate intellectual disability, and severe heart failure",(combined DW),0.261,0.182,0.352
1337,"Congenital heart disease and mild intellectual disability without heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, mild",(combined DW),0.043,0.026,0.064
1338,Congenital heart disease and mild intellectual disability without heart failure due to ventricular septal defect and atrial septal defect,"Congenital heart disease and Intellectual disability / mental retardation, mild",(combined DW),0.043,0.026,0.064
1339,"Congenital heart disease, mild intellectual disability and moderate heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease, mild intellectual disability, and moderate heart failure",(combined DW),0.111,0.072,0.161
1340,"Congenital heart disease, moderate intellectual disability and severe heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease, moderate intellectual disability, and severe heart failure",(combined DW),0.261,0.182,0.352
1341,"Congenital heart disease, moderate intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, moderate intellectual disability, and severe heart failure",(combined DW),0.261,0.182,0.352
1342,Congenital heart disease and moderate intellectual disability without heart failure  due to single ventricle and single ventricle pathway heart defects,"Congenital heart disease and Intellectual disability / mental retardation, moderate",(combined DW),0.1,0.066,0.142
1343,"Congenital heart disease, severe intellectual disability and mild heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease, severe intellectual disability, and mild heart failure",(combined DW),0.195,0.134,0.269
1344,"Congenital heart disease, severe intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, severe intellectual disability, and mild heart failure",(combined DW),0.195,0.134,0.269
1345,"Congenital heart disease, severe intellectual disability and mild heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease, severe intellectual disability, and mild heart failure",(combined DW),0.195,0.134,0.269
1346,Congenital heart disease and moderate intellectual disability  without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, moderate",(combined DW),0.1,0.066,0.142
1347,"Congenital heart disease and moderate intellectual disability without heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, moderate",(combined DW),0.1,0.066,0.142
1348,Congenital heart disease and moderate intellectual disability without heart failure due to ventricular septal defect and atrial septal defect,"Congenital heart disease and Intellectual disability / mental retardation, moderate",(combined DW),0.1,0.066,0.142
1349,Congenital heart disease and severe intellectual disability without heart failure due to other congenital cardiovascular anomalies,"Congenital heart disease and Intellectual disability / mental retardation, severe",(combined DW),0.16,0.107,0.226
1350,Congenital heart disease and severe intellectual disability without heart failure due to single ventricle and single ventricle pathway heart defects,"Congenital heart disease and Intellectual disability / mental retardation, severe",(combined DW),0.16,0.107,0.226
1351,Congenital heart disease and severe intellectual disability  without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, severe",(combined DW),0.16,0.107,0.226
1352,"Congenital heart disease and severe intellectual disability without heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, severe",(combined DW),0.16,0.107,0.226
1353,Congenital heart disease and severe intellectual disability without heart failure due to ventricular septal defect and atrial septal defect,"Congenital heart disease and Intellectual disability / mental retardation, severe",(combined DW),0.16,0.107,0.226
1354,Congenital heart disease and profound intellectual disability without heart failure due to other congenital cardiovascular anomalies,"Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),0.2,0.133,0.283
1355,Congenital heart disease and profound intellectual disability without heart failure due to single ventricle and single ventricle pathway heart defects,"Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),0.2,0.133,0.283
1356,Congenital heart disease and profound intellectual disability without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),0.2,0.133,0.283
1357,"Congenital heart disease and profound intellectual disability without heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),0.2,0.133,0.283
1358,Asymptomatic ventricular septal defect and atrial septal defect,Asymptomatic,--,,,
1359,Congenital heart disease and profound intellectual disability without heart failure due to ventricular septal defect and atrial septal defect,"Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),0.2,0.133,0.283
1360,"Congenital heart disease, severe intellectual disability and mild heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, severe intellectual disability, and mild heart failure",(combined DW),0.195,0.134,0.269
1361,"Congenital heart disease, moderate intellectual disability and severe heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease, moderate intellectual disability, and severe heart failure",(combined DW),0.261,0.182,0.352
1362,Congenital heart disease and mild intellectual disability  without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, mild",(combined DW),0.043,0.026,0.064
1363,Congenital heart disease and moderate intellectual disability without heart failure due to other congenital cardiovascular anomalies,"Congenital heart disease and Intellectual disability / mental retardation, moderate",(combined DW),0.1,0.066,0.142
1364,Congenital heart disease and mild intellectual disability without heart failure due to other congenital cardiovascular anomalies,"Congenital heart disease and Intellectual disability / mental retardation, mild",(combined DW),0.043,0.026,0.064
1365,"Congenital heart disease, mild intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, mild intellectual disability, and moderate heart failure",(combined DW),0.111,0.072,0.161
1366,"Congenital heart disease, mild intellectual disability and severe heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease, mild intellectual disability, and servere heart failure",(combined DW),0.214,0.148,0.291
1367,"Congenital heart disease, mild intellectual disability and severe heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, mild intellectual disability, and servere heart failure",(combined DW),0.214,0.148,0.291
1368,"Congenital heart disease, mild intellectual disability and severe heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease, mild intellectual disability, and servere heart failure",(combined DW),0.214,0.148,0.291
1369,"Congenital heart disease, mild intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, mild intellectual disability, and servere heart failure",(combined DW),0.214,0.148,0.291
1370,Congenital heart disease without intellectual disability or heart failure due to other congenital cardiovascular anomalies,Congenital heart disease,(custom DW from MEPS),,,
1371,Congenital heart disease without intellectual disability or heart failure due to single ventricle and single ventricle pathway heart defects,Congenital heart disease,(custom DW from MEPS),,,
1372,Congenital heart disease and mild intellectual disability without heart failure  due to single ventricle and single ventricle pathway heart defects,"Congenital heart disease and Intellectual disability / mental retardation, mild",(combined DW),0.043,0.026,0.064
1373,"Congenital heart disease without heart failure or intellectual disability due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus",Congenital heart disease,(custom DW from MEPS),,,
1374,Congenital heart disease without heart failure or intellectual disability due to ventricular septal defect and atrial septal defect,Congenital heart disease,(custom DW from MEPS),,,
1375,"Congenital heart disease, moderate intellectual disability and mild heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease, moderate intellectual disability, and mild heart failure",(combined DW),0.137,0.093,0.191
1376,Congenital heart disease and borderline intellectual disability without heart failure due to other congenital cardiovascular anomalies,Congenital heart disease and borderline intellectual functioning,(combined DW),0.011,0.005,0.02
1377,Congenital heart disease without intellectual disability or heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,Congenital heart disease,(custom DW from MEPS),,,
1378,Congenital heart disease and borderline intellectual disability without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,Congenital heart disease and borderline intellectual functioning,(combined DW),0.011,0.005,0.02
1379,"Congenital heart disease, moderate intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, moderate intellectual disability, and moderate heart failure",(combined DW),0.164,0.112,0.225
1380,"Congenital heart disease, moderate intellectual disability and moderate heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease, moderate intellectual disability, and moderate heart failure",(combined DW),0.164,0.112,0.225
1381,Congenital heart disease and borderline intellectual disability without heart failure due to single ventricle and single ventricle pathway heart defects,Congenital heart disease and borderline intellectual functioning,(combined DW),0.011,0.005,0.02
1382,"Congenital heart disease, moderate intellectual disability and moderate heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease, moderate intellectual disability, and moderate heart failure",(combined DW),0.164,0.112,0.225
1383,"Congenital heart disease, moderate intellectual disability and mild heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, moderate intellectual disability, and mild heart failure",(combined DW),0.137,0.093,0.191
1384,"Congenital heart disease, moderate intellectual disability and moderate heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, moderate intellectual disability, and moderate heart failure",(combined DW),0.164,0.112,0.225
1385,"Congenital heart disease, moderate intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, moderate intellectual disability, and mild heart failure",(combined DW),0.137,0.093,0.191
1386,Congenital heart disease and borderline intellectual disability without heart failure due to ventricular septal defect and atrial septal defect,Congenital heart disease and borderline intellectual functioning,(combined DW),0.011,0.005,0.02
1387,"Congenital heart disease and borderline intellectual disability without heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus",Congenital heart disease and borderline intellectual functioning,(combined DW),0.011,0.005,0.02
1388,"Congenital heart disease, moderate intellectual disability and mild heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease, moderate intellectual disability, and mild heart failure",(combined DW),0.137,0.093,0.191
1389,Disfigurement level 2 and speech problems due to orofacial clefts,Speech problems with disfigurement level 2,(combined DW),,,
1390,Asymptomatic orofacial clefts,Asymptomatic,--,,,
1391,Disfigurement level 2 due to orofacial clefts,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
1392,Disfigurement level 1 due to orofacial clefts,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
1393,Severe intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, severe intellectual disability",(combined DW),0.475,0.34,0.614
1394,Profound intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, profound intellectual disability",(combined DW),0.499,0.358,0.645
1395,Borderline intellectual disability and severe dementia due to Down syndrome,"Severe dementia, borderline intellectual disability",(combined DW),0.455,0.316,0.597
1396,Mild intellectual disability and severe dementia due to Down syndrome,"Severe dementia, mild intellectual disability",(combined DW),0.472,0.332,0.615
1397,Moderate intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, moderate intellectual disability",(combined DW),0.438,0.311,0.576
1398,Severe intellectual disability and severe dementia due to Down syndrome,"Severe dementia, severe intellectual disability",(combined DW),0.535,0.384,0.681
1399,Profound intellectual disability and severe dementia due to Down syndrome,"Severe dementia, profound intellectual disability",(combined DW),0.557,0.401,0.703
1400,Severe intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.",0.16,0.107,0.226
1401,Profound intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.",0.2,0.133,0.283
1402,Moderate intellectual disability and severe dementia due to Down syndrome,"Severe dementia, moderate intellectual disability",(combined DW),0.503,0.355,0.646
1403,Mild intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, mild intellectual disability",(combined DW),0.403,0.281,0.536
1404,Borderline intellectual disability and mild dementia due to Down syndrome,"Mild dementia, borderline intellectual disability",(combined DW),0.079,0.051,0.115
1405,"Severe intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, severe intellectual disability",(combined DW),0.535,0.384,0.681
1406,Moderate intellectual disability with congenital heart disease due to Down syndrome,Moderate intellectual disability with congenital heart disease,(combined DW),0.1,0.066,0.142
1407,Severe intellectual disability with congenital heart disease due to Down syndrome,Severe intellectual disability with congenital heart disease,(combined DW),0.16,0.107,0.226
1408,"Moderate intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, moderate intellectual disability",(combined DW),0.162,0.11,0.222
1409,Profound intellectual disability with congenital heart disease due to Down syndrome,Profound intellectual disability with congenital heart disease,(combined DW),0.2,0.133,0.283
1410,Borderline intellectual disability due to Down syndrome,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
1411,"Moderate intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, moderate intellectual disability",(combined DW),0.503,0.355,0.646
1412,Mild intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
1413,Moderate intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.",0.1,0.066,0.142
1414,Congenital heart disease and mild dementia due to Down syndrome,Congenital heart disease and mild dementia,(combined DW),0.069,0.046,0.099
1415,Congenital heart disease and moderate dementia due to Down syndrome,Congenital heart disease and moderate dementia,(combined DW),0.377,0.252,0.508
1416,"Mild intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, mild intellectual disability",(combined DW),0.472,0.332,0.615
1417,"Borderline intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, borderline intellectual disability",(combined DW),0.455,0.316,0.597
1418,Congenital heart disease and severe dementia due to Down syndrome,Congenital heart disease and severe dementia,(combined DW),0.449,0.304,0.595
1419,"Profound intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, profound intellectual disability",(combined DW),0.499,0.358,0.645
1420,"Severe intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, severe intellectual disability",(combined DW),0.475,0.34,0.614
1421,"Borderline intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, borderline intellectual disability",(combined DW),0.079,0.051,0.115
1422,"Moderate intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, moderate intellectual disability",(combined DW),0.438,0.311,0.576
1423,"Mild intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, mild intellectual disability",(combined DW),0.403,0.281,0.536
1424,"Mild intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, mild intellectual disability",(combined DW),0.109,0.071,0.159
1425,"Borderline intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, borderline intellectual disability",(combined DW),0.384,0.262,0.517
1426,"Profound intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, profound intellectual disability",(combined DW),0.255,0.178,0.346
1427,Mild intellectual disability with congenital heart disease due to Down syndrome,Mild intellectual disability with congenital heart disease,(combined DW),0.043,0.026,0.064
1428,Borderline intellectual disability with congenital heart disease due to Down syndrome,Borderline intellectual disability with congenital heart disease,(combined DW),0.011,0.005,0.02
1429,"Severe intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, severe intellectual disability",(combined DW),0.218,0.149,0.299
1430,Borderline intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, borderline intellectual disability",(combined DW),0.384,0.262,0.517
1431,Isolated congenital heart disease due to Down syndrome,Congenital heart disease,(custom DW from MEPS),,,
1432,Asymptomatic Down syndrome,Asymptomatic,--,,,
1433,"Profound intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, profound intellectual disability",(combined DW),0.557,0.401,0.703
1434,Profound intellectual disability and mild dementia due to Down syndrome,"Mild dementia, profound intellectual disability",(combined DW),0.255,0.178,0.346
1435,Severe intellectual disability and mild dementia due to Down syndrome,"Mild dementia, severe intellectual disability",(combined DW),0.218,0.149,0.299
1436,Severe dementia due to Down syndrome,"Dementia, severe",has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,0.449,0.304,0.595
1437,Mild dementia due to Down syndrome,"Dementia, mild","has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.",0.069,0.046,0.099
1438,Moderate intellectual disability and mild dementia due to Down syndrome,"Mild dementia, moderate intellectual disability",(combined DW),0.162,0.11,0.222
1439,Mild intellectual disability and mild dementia due to Down syndrome,"Mild dementia, mild intellectual disability",(combined DW),0.109,0.071,0.159
1440,Moderate dementia due to Down syndrome,"Dementia, moderate","has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.",0.377,0.252,0.508
1441,Congenital heart disease due to Turner syndrome,Congenital heart disease,(custom DW from MEPS),,,
1442,Congenital heart disease with infertility due to Turner syndrome,Congenital heart disease with primary infertility,(combined DW),,,
1443,Primary infertility due to Turner syndrome,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
1444,Asymptomatic Turner syndrome,Asymptomatic,--,,,
1445,Mild intellectual disability due to Klinefelter syndrome,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
1446,Mild intellectual disability with infertility due to Klinefelter syndrome,Mild intellectual disability with primary infertility,(combined DW),,,
1447,Asymptomatic Klinefelter syndrome,Asymptomatic,--,,,
1448,Borderline intellectual disability due to Klinefelter syndrome,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
1449,Primary infertility due to Klinefelter syndrome,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
1450,Borderline intellectual disability with infertility due to Klinefelter syndrome,Borderline intellectual disability with primary infertility,(combined DW),,,
1451,Borderline intellectual disability with congenital heart disease due to other chromosomal abnormalities,Borderline intellectual disability with congenital heart disease,(combined DW),0.011,0.005,0.02
1452,"Mild intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, mild intellectual disability",(combined DW),0.109,0.071,0.159
1453,Asymptomatic other chromosomal abnormalities,Asymptomatic,--,,,
1454,Mild intellectual disability with congenital heart disease due to other chromosomal abnormalities,Mild intellectual disability with congenital heart disease,(combined DW),0.043,0.026,0.064
1455,"Borderline intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, borderline intellectual disability",(combined DW),0.079,0.051,0.115
1456,Moderate intellectual disability with congenital heart disease due to other chromosomal abnormalities,Moderate intellectual disability with congenital heart disease,(combined DW),0.1,0.066,0.142
1457,Isolated congenital heart disease due to other chromosomal abnormalities,Congenital heart disease,(custom DW from MEPS),,,
1458,Severe dementia due to other chromosomal abnormalities,"Dementia, severe",has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,0.449,0.304,0.595
1459,Borderline intellectual disability due to other chromosomal abnormalities,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
1460,Severe intellectual disability with congenital heart disease due to other chromosomal abnormalities,Severe intellectual disability with congenital heart disease,(combined DW),0.16,0.107,0.226
1461,Congenital heart disease and moderate dementia due to other chromosomal abnormalities,Congenital heart disease and moderate dementia,(combined DW),0.377,0.252,0.508
1462,Profound intellectual disability with congenital heart disease due to other chromosomal abnormalities,Profound intellectual disability with congenital heart disease,(combined DW),0.2,0.133,0.283
1463,Mild dementia due to other chromosomal abnormalities,"Dementia, mild","has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.",0.069,0.046,0.099
1464,Congenital heart disease and mild dementia due to other chromosomal abnormalities,Congenital heart disease and mild dementia,(combined DW),0.069,0.046,0.099
1465,Severe motor and cognitive impairment due to Edward Syndrome or Patau Syndrome,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
1466,Mild intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
1467,Moderate dementia due to other chromosomal abnormalities,"Dementia, moderate","has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.",0.377,0.252,0.508
1468,Congenital heart disease and severe dementia due to other chromosomal abnormalities,Congenital heart disease and severe dementia,(combined DW),0.449,0.304,0.595
1469,Moderate intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.",0.1,0.066,0.142
1470,Mild intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, mild intellectual disability",(combined DW),0.403,0.281,0.536
1471,"Severe intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, severe intellectual disability",(combined DW),0.218,0.149,0.299
1472,"Severe intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, severe intellectual disability",(combined DW),0.535,0.384,0.681
1473,Severe intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.",0.16,0.107,0.226
1474,"Profound intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, profound intellectual disability",(combined DW),0.557,0.401,0.703
1475,Borderline intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, borderline intellectual disability",(combined DW),0.079,0.051,0.115
1476,Profound intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, profound intellectual disability",(combined DW),0.557,0.401,0.703
1477,Mild intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, mild intellectual disability",(combined DW),0.109,0.071,0.159
1478,Severe intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, severe intellectual disability",(combined DW),0.535,0.384,0.681
1479,"Moderate intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, moderate intellectual disability",(combined DW),0.162,0.11,0.222
1480,Moderate intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, moderate intellectual disability",(combined DW),0.503,0.355,0.646
1481,Mild intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, mild intellectual disability",(combined DW),0.472,0.332,0.615
1482,Borderline intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, borderline intellectual disability",(combined DW),0.455,0.316,0.597
1483,Severe intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, severe intellectual disability",(combined DW),0.218,0.149,0.299
1484,Profound intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, profound intellectual disability",(combined DW),0.499,0.358,0.645
1485,Severe intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, severe intellectual disability",(combined DW),0.475,0.34,0.614
1486,Profound intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, profound intellectual disability",(combined DW),0.255,0.178,0.346
1487,Moderate intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, moderate intellectual disability",(combined DW),0.438,0.311,0.576
1488,Moderate intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, moderate intellectual disability",(combined DW),0.162,0.11,0.222
1489,"Moderate intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, moderate intellectual disability",(combined DW),0.503,0.355,0.646
1490,"Borderline intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, borderline intellectual disability",(combined DW),0.384,0.262,0.517
1491,"Profound intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, profound intellectual disability",(combined DW),0.255,0.178,0.346
1492,Borderline intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, borderline intellectual disability",(combined DW),0.384,0.262,0.517
1493,"Mild intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, mild intellectual disability",(combined DW),0.403,0.281,0.536
1494,"Moderate intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, moderate intellectual disability",(combined DW),0.438,0.311,0.576
1495,"Severe intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, severe intellectual disability",(combined DW),0.475,0.34,0.614
1496,Severe motor and cognitive impairment with congenital heart disease due to Edward Syndrome or Patau Syndrome,Severe motor plus cognitive impairments and congenital heart disease,(combined DW),0.542,0.374,0.702
1497,"Profound intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, profound intellectual disability",(combined DW),0.499,0.358,0.645
1498,"Borderline intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, borderline intellectual disability",(combined DW),0.455,0.316,0.597
1499,"Mild intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, mild intellectual disability",(combined DW),0.472,0.332,0.615
1500,Profound intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.",0.2,0.133,0.283
1501,Disfigurement level 2 with pain due to other congenital musculoskeletal anomalies,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
1502,Disfigurement level 2 and mild motor impairment due to congenital limb deficiency,Level 2 disfigurement with mild motor impairment,(combined DW),0.076,0.051,0.112
1503,Disfigurement level 1 due to polydactyly and syndactyly,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
1504,Disfigurement level 2 and moderate motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with moderate motor impairment,(combined DW),0.124,0.083,0.175
1505,Disfigurement level 2 with pain due to congenital limb deficiency,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
1506,Disfigurement level 2 due to other congenital musculoskeletal anomalies,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
1507,Disfigurement level 2 due to congenital limb deficiency,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
